"cohortId","atlasId","name","fullName"
5357,5357,"Canagliflozin","new users of canagliflozin"
5361,5361,"CanagliflozinCv","new users of canagliflozin with established cardiovascular disease"
5363,5363,"Empagliflozin","new users of empagliflozin"
5364,5364,"EmpagliflozinCv","new users of empagliflozin with established cardiovascular disease"
5365,5365,"Dapagliflozin","new users of dapagliflozin"
5366,5366,"DapagliflozinCv","new users of dapagliflozin with established cardiovascular disease"
5367,5367,"EmpagliflozinOrDapagliflozin","new users of empagliflozin or dapagliflozin"
5368,5368,"EmpagliflozinOrDapagliflozinCv","new users of empagliflozin or dapagliflozin with established cardiovascular disease"
5369,5369,"Ahas","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA"
5370,5370,"AhasCv","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease "
5371,5371,"AhasWithInsulin","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA"
5372,5372,"AhasWithInsulinCv","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease"
5373,5373,"CanagliflozinAtLeast1PriorNonMetforminAha","new users of canagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure"
5374,5374,"CanagliflozinNoPriorNonMetforminAha","new users of canagliflozin with no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure"
5375,5375,"CanagliflozinNoPriorEmpagliflozin","new users of canagliflozin with no prior exposure to empagliflozin"
5376,5376,"CanagliflozinNoPriorDapagliflozin","new users of canagliflozin with no prior exposure to dapagliflozin"
5377,5377,"CanagliflozinNoPriorEmpagliflozinOrDapagliflozin","new users of canagliflozin with no prior exposure to empagliflozin or dapagliflozin"
5378,5378,"CanagliflozinNoPriorAhas","new users of canagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA"
5379,5379,"CanagliflozinNoPriorAhasWithInsulin","new users of canagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA"
5380,5380,"CanagliflozinCvAtLeast1PriorNonMetforminAha","new users of canagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure"
5381,5381,"CanagliflozinCvNoPriorNonMetforminAha","new users of canagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure"
5382,5382,"CanagliflozinCvNoPriorEmpagliflozin","new users of canagliflozin with established cardiovascular disease and no prior exposure to empagliflozin"
5383,5383,"CanagliflozinCvNoPriorDapagliflozin","new users of canagliflozin with established cardiovascular disease and no prior exposure to dapagliflozin"
5384,5384,"CanagliflozinCvNoPriorEmpagliflozinOrDapagliflozin","new users of canagliflozin with established cardiovascular disease and no prior exposure to empagliflozin or dapagliflozin"
5385,5385,"CanagliflozinCvNoPriorAhas","new users of canagliflozin with established cardiovascular disease and no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA"
5386,5386,"CanagliflozinCvNoPriorAhasWithInsulin","new users of canagliflozin with established cardiovascular disease and no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA"
5387,5387,"EmpagliflozinAtLeast1PriorNonMetforminAha","new users of empagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure"
5388,5388,"EmpagliflozinNoPriorNonMetforminAha","new users of empagliflozin with no prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure"
5389,5389,"EmpagliflozinNoPriorCanagliflozin","new users of empagliflozin with no prior exposure to canagliflozin"
5391,5391,"EmpagliflozinCvAtLeast1PriorNonMetforminAha","new users of empagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure"
5392,5392,"EmpagliflozinCvNoPriorNonMetforminAha","new users of empagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure"
5393,5393,"EmpagliflozinCvNoPriorCanagliflozin","new users of empagliflozin with established cardiovascular disease and no prior exposure to canagliflozin"
5394,5394,"DapagliflozinAtLeast1PriorNonMetforminAha","new users of dapagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure"
5395,5395,"DapagliflozinNoPriorNonMetforminAha","new users of dapagliflozin with no prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure"
5396,5396,"DapagliflozinNoPriorCanagliflozin","new users of dapagliflozin with no prior exposure to canagliflozin"
5397,5397,"DapagliflozinCvAtLeast1PriorNonMetforminAha","new users of dapagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure"
5398,5398,"DapagliflozinCvNoPriorNonMetforminAha","new users of dapagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure"
5399,5399,"DapagliflozinCvNoPriorCanagliflozin","new users of dapagliflozin with established cardiovascular disease and no prior exposure to canagliflozin"
5400,5400,"EmpagliflozinOrDapagliflozinAtLeast1PriorNonMetforminAha","new users of empagliflozin or dapagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure"
5401,5401,"EmpagliflozinOrDapagliflozinNoPriorNonMetforminAha","new users of empagliflozin or dapagliflozin with no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure"
5402,5402,"EmpagliflozinOrDapagliflozinNoPriorCanagliflozin","new users of empagliflozin or dapagliflozin with no prior exposure to canagliflozin"
5403,5403,"EmpagliflozinOrDapagliflozinNoPriorAhas","new users of empagliflozin or dapagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA"
5404,5404,"EmpagliflozinOrDapagliflozinNoPriorAhasWithInsulin","new users of empagliflozin or dapagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA"
5405,5405,"EmpagliflozinOrDapagliflozinCvAtLeast1PriorNonMetforminAha","new users of empagliflozin or dapagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure"
5406,5406,"EmpagliflozinOrDapagliflozinCvNoPriorNonMetforminAha","new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure"
5407,5407,"EmpagliflozinOrDapagliflozinCvNoPriorCanagliflozin","new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior exposure to canagliflozin"
5408,5408,"EmpagliflozinOrDapagliflozinCvNoPriorAhas","new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA"
5409,5409,"EmpagliflozinOrDapagliflozinCvNoPriorAhasWithInsulin","new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA"
5410,5410,"AhasAtLeast1PriorNonMetforminAha","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA"
5411,5411,"AhasNoPriorNonMetforminAha","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA"
5412,5412,"AhasNoPriorCanagliflozin","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior exposure to canagliflozin"
5413,5413,"AhasNoPriorEmpagliflozinOrDapagliflozin","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior exposure to empagliflozin or dapagliflozin"
5414,5414,"AhasCvAtLeast1PriorNonMetforminAha","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA"
5415,5415,"AhasCvNoPriorNonMetforminAha","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA"
5417,5417,"AhasCvNoPriorEmpagliflozinOrDapagliflozin","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and no prior exposure to empagliflozin or dapagliflozin"
5418,5418,"AhasWithInsulinAtLeast1PriorNonMetforminAha","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA "
5419,5419,"AhasWithInsulinNoPriorNonMetforminAha","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA "
5420,5420,"AhasWithInsulinNoPriorCanagliflozin","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior exposure to canagliflozin"
5421,5421,"AhasWithInsulinNoPriorEmpagliflozinOrDapagliflozin","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior exposure to empagliflozin or dapagliflozin"
5422,5422,"AhasWithInsulinCvAtLeast1PriorNonMetforminAha","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA "
5426,5426,"AhasWithInsulinCvNoPriorNonMetforminAha","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA "
5429,5429,"AhasWithInsulinCvNoPriorCanagliflozin","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and no prior exposure to canagliflozin"
5430,5430,"AhasWithInsulinCvNoPriorEmpagliflozinOrDapagliflozin","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and no prior exposure to empagliflozin or dapagliflozin"
5431,5431,"AhasCvNoPriorCanagliflozin","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and no prior exposure to canagliflozin"
5432,5432,"HeartFailure","hospitalizations for heart failure (primary inpatient diagnosis)"
5433,5433,"BkleAmputation","Below Knee Lower Extremity Amputation events"
15357,NA,"CanagliflozinNoCensor","new users of canagliflozin, no censoring"
15361,NA,"CanagliflozinCvNoCensor","new users of canagliflozin with established cardiovascular disease, no censoring"
15367,NA,"EmpagliflozinOrDapagliflozinNoCensor","new users of empagliflozin or dapagliflozin, no censoring"
15368,NA,"EmpagliflozinOrDapagliflozinCvNoCensor","new users of empagliflozin or dapagliflozin with established cardiovascular disease, no censoring"
15373,NA,"CanagliflozinAtLeast1PriorNonMetforminAhaNoCensor","new users of canagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure, no censoring"
15374,NA,"CanagliflozinNoPriorNonMetforminAhaNoCensor","new users of canagliflozin with no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure, no censoring"
15375,NA,"CanagliflozinNoPriorEmpagliflozinNoCensor","new users of canagliflozin with no prior exposure to empagliflozin, no censoring"
15380,NA,"CanagliflozinCvAtLeast1PriorNonMetforminAhaNoCensor","new users of canagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure, no censoring"
15381,NA,"CanagliflozinCvNoPriorNonMetforminAhaNoCensor","new users of canagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first canagliflozin exposure, no censoring"
15382,NA,"CanagliflozinCvNoPriorEmpagliflozinNoCensor","new users of canagliflozin with established cardiovascular disease and no prior exposure to empagliflozin, no censoring"
15376,NA,"CanagliflozinNoPriorDapagliflozinNoCensor","new users of canagliflozin with no prior exposure to dapagliflozin, no censoring"
15383,NA,"CanagliflozinCvNoPriorDapagliflozinNoCensor","new users of canagliflozin with established cardiovascular disease and no prior exposure to dapagliflozin, no censoring"
15377,NA,"CanagliflozinNoPriorEmpagliflozinOrDapagliflozinNoCensor","new users of canagliflozin with no prior exposure to empagliflozin or dapagliflozin, no censoring"
15384,NA,"CanagliflozinCvNoPriorEmpagliflozinOrDapagliflozinNoCensor","new users of canagliflozin with established cardiovascular disease and no prior exposure to empagliflozin or dapagliflozin, no censoring"
15400,NA,"EmpagliflozinOrDapagliflozinAtLeast1PriorNonMetforminAhaNoCensor","new users of empagliflozin or dapagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure, no censoring"
15401,NA,"EmpagliflozinOrDapagliflozinNoPriorNonMetforminAhaNoCensor","new users of empagliflozin or dapagliflozin with no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure, no censoring"
15378,NA,"CanagliflozinNoPriorAhasNoCensor","new users of canagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA, no censoring"
15403,NA,"EmpagliflozinOrDapagliflozinNoPriorAhasNoCensor","new users of empagliflozin or dapagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA, no censoring"
15405,NA,"EmpagliflozinOrDapagliflozinCvAtLeast1PriorNonMetforminAhaNoCensor","new users of empagliflozin or dapagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure, no censoring"
15406,NA,"EmpagliflozinOrDapagliflozinCvNoPriorNonMetforminAhaNoCensor","new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first empagliflozin or dapagliflozin exposure, no censoring"
15408,NA,"EmpagliflozinOrDapagliflozinCvNoPriorAhasNoCensor","new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA, no censoring"
15379,NA,"CanagliflozinNoPriorAhasWithInsulinNoCensor","new users of canagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA, no censoring"
15404,NA,"EmpagliflozinOrDapagliflozinNoPriorAhasWithInsulinNoCensor","new users of empagliflozin or dapagliflozin with no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA, no censoring"
15386,NA,"CanagliflozinCvNoPriorAhasWithInsulinNoCensor","new users of canagliflozin with established cardiovascular disease and no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA, no censoring"
15409,NA,"EmpagliflozinOrDapagliflozinCvNoPriorAhasWithInsulinNoCensor","new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA, no censoring"
15385,NA,"CanagliflozinCvNoPriorAhasNoCensor","new users of canagliflozin with established cardiovascular disease and no prior exposure to any DPP-4 inhibitor, GLP-1 agonist, or other select AHA, no censoring"
15363,NA,"EmpagliflozinNoCensor","new users of empagliflozin, no censoring"
15364,NA,"EmpagliflozinCvNoCensor","new users of empagliflozin with established cardiovascular disease, no censoring"
15365,NA,"DapagliflozinNoCensor","new users of dapagliflozin, no censoring"
15366,NA,"DapagliflozinCvNoCensor","new users of dapagliflozin with established cardiovascular disease, no censoring"
15369,NA,"AhasNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA, no censoring"
15370,NA,"AhasCvNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease , no censoring"
15371,NA,"AhasWithInsulinNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA, no censoring"
15372,NA,"AhasWithInsulinCvNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease, no censoring"
15387,NA,"EmpagliflozinAtLeast1PriorNonMetforminAhaNoCensor","new users of empagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure, no censoring"
15388,NA,"EmpagliflozinNoPriorNonMetforminAhaNoCensor","new users of empagliflozin with no prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure, no censoring"
15389,NA,"EmpagliflozinNoPriorCanagliflozinNoCensor","new users of empagliflozin with no prior exposure to canagliflozin, no censoring"
15391,NA,"EmpagliflozinCvAtLeast1PriorNonMetforminAhaNoCensor","new users of empagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure, no censoring"
15392,NA,"EmpagliflozinCvNoPriorNonMetforminAhaNoCensor","new users of empagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first empagliflozin exposure, no censoring"
15393,NA,"EmpagliflozinCvNoPriorCanagliflozinNoCensor","new users of empagliflozin with established cardiovascular disease and no prior exposure to canagliflozin, no censoring"
15394,NA,"DapagliflozinAtLeast1PriorNonMetforminAhaNoCensor","new users of dapagliflozin with at least 1 prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure, no censoring"
15395,NA,"DapagliflozinNoPriorNonMetforminAhaNoCensor","new users of dapagliflozin with no prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure, no censoring"
15396,NA,"DapagliflozinNoPriorCanagliflozinNoCensor","new users of dapagliflozin with no prior exposure to canagliflozin, no censoring"
15397,NA,"DapagliflozinCvAtLeast1PriorNonMetforminAhaNoCensor","new users of dapagliflozin with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure, no censoring"
15398,NA,"DapagliflozinCvNoPriorNonMetforminAhaNoCensor","new users of dapagliflozin with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first dapagliflozin exposure, no censoring"
15399,NA,"DapagliflozinCvNoPriorCanagliflozinNoCensor","new users of dapagliflozin with established cardiovascular disease and no prior exposure to canagliflozin, no censoring"
15402,NA,"EmpagliflozinOrDapagliflozinNoPriorCanagliflozinNoCensor","new users of empagliflozin or dapagliflozin with no prior exposure to canagliflozin, no censoring"
15407,NA,"EmpagliflozinOrDapagliflozinCvNoPriorCanagliflozinNoCensor","new users of empagliflozin or dapagliflozin with established cardiovascular disease and no prior exposure to canagliflozin, no censoring"
15410,NA,"AhasAtLeast1PriorNonMetforminAhaNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA, no censoring"
15411,NA,"AhasNoPriorNonMetforminAhaNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA, no censoring"
15412,NA,"AhasNoPriorCanagliflozinNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior exposure to canagliflozin, no censoring"
15413,NA,"AhasNoPriorEmpagliflozinOrDapagliflozinNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with no prior exposure to empagliflozin or dapagliflozin, no censoring"
15414,NA,"AhasCvAtLeast1PriorNonMetforminAhaNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA, no censoring"
15415,NA,"AhasCvNoPriorNonMetforminAhaNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA, no censoring"
15417,NA,"AhasCvNoPriorEmpagliflozinOrDapagliflozinNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and no prior exposure to empagliflozin or dapagliflozin, no censoring"
15418,NA,"AhasWithInsulinAtLeast1PriorNonMetforminAhaNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA , no censoring"
15419,NA,"AhasWithInsulinNoPriorNonMetforminAhaNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA , no censoring"
15420,NA,"AhasWithInsulinNoPriorCanagliflozinNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior exposure to canagliflozin, no censoring"
15421,NA,"AhasWithInsulinNoPriorEmpagliflozinOrDapagliflozinNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with no prior exposure to empagliflozin or dapagliflozin, no censoring"
15422,NA,"AhasWithInsulinCvAtLeast1PriorNonMetforminAhaNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and at least 1 prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA , no censoring"
15426,NA,"AhasWithInsulinCvNoPriorNonMetforminAhaNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and no prior non-metformin AHA exposure in 365 days prior to first exposure of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA , no censoring"
15429,NA,"AhasWithInsulinCvNoPriorCanagliflozinNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and no prior exposure to canagliflozin, no censoring"
15430,NA,"AhasWithInsulinCvNoPriorEmpagliflozinOrDapagliflozinNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, TZD, SU, insulin, or other select AHA with established cardiovascular disease and no prior exposure to empagliflozin or dapagliflozin, no censoring"
15431,NA,"AhasCvNoPriorCanagliflozinNoCensor","new users of any DPP-4 inhibitor, GLP-1 agonist, or other select AHA with established cardiovascular disease and no prior exposure to canagliflozin, no censoring"
